id,restaurant,delivery,adress,district,zip,city,distance,netpincer_rating,netpincer_count,wolt_rating,wolt_count,google_rating,google_count,tripadvisor_rating,tripadvisor_count,I think we can delete this,facebook_rating,facebook_count,facebook_followers,website,menu_language,number_of_pizzas,number_of_wines,imported_wine,delivery_home,delivery_ceu,delivery_medium,delivery_origin,delivery_price,margarita_price,margarita_size,coke_price_500ml,pepsi_price_500ml,size_if_not_500ml,coke_price,pepsi_price,margarita_price_alone
1a,Oinos WineBar Bistrot,No Delivery,Rakoczi ter 7,8,1084,Budapest,2.5 km,4.7,107,9.4,200,4.5999999999999996,666,4.5,1148,yes,4.8,136,6506,yes,"Hungarian, English",15,67,yes,yes,yes,"Own (in district 8 for free), Wolt, NetPincer",restaurant,0,1690,32,NA,NA,0.25,390,NA,1690
1b,Oinos WineBar Bistrot,Delivery,Rakoczi ter 7,8,1084,Budapest,2.5 km,4.7,107,9.4,200,4.5999999999999996,666,4.5,1148,yes,4.8,136,6506,yes,"Hungarian, English",15,67,yes,yes,yes,"Own (in district 8 for free), Wolt, NetPincer",Wolt,699,1590,32,NA,NA,0.25,390,NA,2289
2a,Local Korner,No Delivery,Semmelweis utca 17,5,1052,Budapest,1.3 km,-,-,9.4,500,4.7,875,5,1439,yes,4.9000000000000004,54,1009,yes,Hungarian,9999999,7,no,yes,yes,Wolt,restaurant,0,1890,32,NA,NA,0.33,NA,350,1890
2b,Local Korner,Delivery,Semmelweis utca 17,5,1052,Budapest,1.3 km,-,-,9.4,500,4.7,875,5,1439,yes,4.9000000000000004,54,1009,yes,Hungarian,9999999,7,no,yes,yes,Wolt,Wolt,499,1890,32,NA,NA,0.33,NA,350,2389
3a,Belli Di Mamma,No Delivery,Akacfa utca 45,7,1072,Budapest,1.8 km,-,-,9.1999999999999993,500,4.7,515,4.5,464,yes,4.8,100,8747,yes,"Hungarian, English, Italian",18,10,yes,yes,yes,Wolt,restaurant,0,1990,32,590,NA,NA,NA,NA,1990
3b,Belli Di Mamma,Delivery,Akacfa utca 45,7,1072,Budapest,1.8 km,-,-,9.1999999999999993,500,4.7,515,4.5,464,yes,4.8,100,8747,yes,"Hungarian, English, Italian",18,10,yes,yes,yes,Wolt,Wolt,499,1990,32,590,NA,NA,NA,NA,2489
4a,Amici Miei,No Delivery,"Corvin Sétány, 1",8,1082,Budapest,3.2 km,-,-,9.4,500,4.3,655,4.5,426,yes,4.4000000000000004,136,2356,no,Hungarian,26,0,no,yes,yes,Wolt,restaurant,0,1890,32,NA,NA,0.25,NA,490,1890
4b,Amici Miei,Delivery,"Corvin Sétány, 1",8,1082,Budapest,3.2 km,-,-,9.4,500,4.3,655,4.5,426,yes,4.4000000000000004,136,2356,no,Hungarian,26,0,no,yes,yes,Wolt,Wolt,799,1890,32,NA,NA,0.25,NA,490,2689
5a,Pizza Manufaktura,No Delivery,Erkel u. 4,9,1092,Budapest,2.1 km,-,-,9.6,500,4.7,1960,4.5,201,yes,4.5999999999999996,183,10235,no,Hungarian,21,0,no,yes,yes,Wolt,restaurant,0,1600,32,NA,NA,NA,NA,NA,1600
5b,Pizza Manufaktura,Delivery,Erkel u. 4,9,1092,Budapest,2.1 km,-,-,9.6,500,4.7,1960,4.5,201,yes,4.5999999999999996,183,10235,no,Hungarian,21,0,no,yes,yes,Wolt,Wolt,599,1600,32,NA,NA,NA,NA,NA,2199
6a,IL Terzo Cerchio,No Delivery,Dohany utca 40 ,7,1074,Budapest,1.7 km,4.3,366,9.1999999999999993,200,4.5,2528,4.5,2307,yes,4.8,256,6926,yes,"Hungarian, English, Italian",20,51,yes,yes,yes,"Own, NetPincér, Wolt",restaurant,0,2150,32,NA,590,NA,NA,NA,2150
6b,IL Terzo Cerchio,Delivery,Dohany utca 40,7,1074,Budapest,1.7 km,4.3,366,9.1999999999999993,200,4.5,2528,4.5,2307,yes,4.8,256,6926,yes,"Hungarian, English, Italian",20,51,yes,yes,yes,"Own, NetPincér, Wolt",own delivery,500,2150,32,NA,590,NA,NA,NA,2650
6c,IL Terzo Cerchio,Delivery,Dohany utca 40,7,1074,Budapest,1.7 km,4.3,366,9.1999999999999993,200,4.5,2528,4.5,2307,yes,4.8,256,6926,yes,"Hungarian, English, Italian",20,51,yes,yes,yes,"Own, NetPincér, Wolt",Net Pincér,500,2150,32,NA,590,NA,NA,NA,2650
6d,IL Terzo Cerchio,Delivery,Dohany utca 40 ,7,1074,Budapest,1.7 km,4.3,366,9.1999999999999993,200,4.5,2528,4.5,2307,yes,4.8,256,6926,yes,"Hungarian, English, Italian",20,51,yes,yes,yes,"Own, NetPincér, Wolt",Wolt,499,2150,32,NA,590,NA,NA,NA,2649
7a,Ciao Bella,No Delivery,Dob utca 2.   ,7,1075,Budapest,1.2 km,5,3,-,-,4.4000000000000004,187,4.5,93,yes,5,6,715,no,Hungarian,17,3,no,yes,yes,"NetPincér, Wolt",restaurant,0,1590,30,NA,NA,0.33,450,450,1590
7b,Ciao Bella,Delivery,Dob utca 2.   ,7,1075,Budapest,1.2 km,5,3,-,-,4.4000000000000004,187,4.5,93,yes,5,6,715,no,Hungarian,17,3,no,yes,yes,"NetPincér, Wolt",Net Pincér,490,1590,30,NA,NA,0.33,450,450,2080
7c,Ciao Bella,Delivery,Dob utca 2.   ,7,1075,Budapest,1.2 km,5,3,-,-,4.4000000000000004,187,4.5,93,yes,5,6,715,no,Hungarian,17,3,no,yes,yes,"NetPincér, Wolt",Wolt,499,1590,30,NA,NA,0.33,450,450,2089
8a,Jamie Oliver's Pizzeria Gozsdu,No Delivery,Király utca 13.,7,1072,Budapest,1.2 km,4.5,18,9.1999999999999993,500,3.9,2109,4,839,yes,3.9,144,9791,yes,Hungarian,10,12,yes,yes,yes,"NetPincér, Wolt",restaurant,0,1480,32,NA,NA,0.25,580,NA,1480
8b,Jamie Oliver's Pizzeria Gozsdu,Delivery,Király utca 13.,7,1072,Budapest,1.2 km,4.5,18,9.1999999999999993,500,3.9,2109,4,839,yes,3.9,144,9791,yes,Hungarian,10,12,yes,yes,yes,"NetPincér, Wolt",Wolt,499,1480,32,NA,NA,0.25,580,NA,1979
9a,Pizza Rakéta,No Delivery,Gát utca 31.,9,1095,Budapest,3 km,4.2,405,9.1999999999999993,200,4.2,170,3.5,12,yes,4.5999999999999996,56,2865,yes,"Hungarian, English",25,0,0,yes,yes,"Own, NetPincér, Wolt",restaurant,0,2190,32,NA,NA,0.33,330,NA,2190
9b,Pizza Rakéta,Delivery,Gát utca 31.,9,1095,Budapest,3 km,4.2,405,9.1999999999999993,200,4.2,170,3.5,12,yes,4.5999999999999996,56,2865,yes,"Hungarian, English",25,0,no,yes,yes,"Own, NetPincér, Wolt",own delivery,470,2190,32,NA,NA,0.33,330,NA,2660
9c,Pizza Rakéta,Delivery,Gát utca 31.,9,1095,Budapest,3 km,4.2,405,9.1999999999999993,200,4.2,170,3.5,12,yes,4.5999999999999996,56,2865,yes,"Hungarian, English",25,0,no,yes,yes,"Own, NetPincér, Wolt",Net Pincér,390,2290,32,NA,NA,0.33,330,NA,2680
9d,Pizza Rakéta,Delivery,Gát utca 31.,9,1095,Budapest,3 km,4.2,405,9.1999999999999993,200,4.2,170,3.5,12,yes,4.5999999999999996,56,2865,yes,"Hungarian, English",25,0,no,yes,yes,"Own, NetPincér, Wolt",Wolt,499,2090,32,NA,NA,0.33,330,NA,2589
10a,Ponte Pizza,No Delivery, Nefelejcs u. 14,7,1078,Budapest,3.3 km,4.7,1000,9.4,500,4,67,-,-,yes,4.9000000000000004,84,3345,yes,"Hungarian, English, Gerrman",64,5,no,yes,yes,"Own, NetPincér",restaurant,0,1701,32,360,NA,NA,NA,NA,1701
10b,Ponte Pizza,Delivery, Nefelejcs u. 14,7,1078,Budapest,3.3 km,4.7,1000,9.4,500,4,67,-,-,yes,4.9000000000000004,84,3345,yes,"Hungarian, English, Gerrman",64,5,no,yes,yes,"Own, NetPincér",own delivery,0,1701,32,360,NA,NA,NA,NA,1701
10c,Ponte Pizza,Delivery, Nefelejcs u. 14,7,1078,Budapest,3.3 km,4.7,1000,9.4,500,4,67,-,-,yes,4.9000000000000004,84,3345,yes,"Hungarian, English, Gerrman",64,5,no,yes,yes,"Own, NetPincér",Net Pincér,0,1890,32,360,NA,NA,NA,NA,1890
11a,Pizza & Minden 1790,Delivery,Haris köz 4,5,1052,Budapest,1 km,4.5999999999999996,166,9.4,200,3.8,58,-,-,yes,4.5999999999999996,99,5104,no,Hungarian,24,1,no,Yes,yes,Net Pincer,Net Pincér,490,1790,30,NA,NA,1.25,590,NA,2280
11b,Pizza & Minden 1790,Delivery,Haris köz 4,5,1052,Budapest,1 km,4.5999999999999996,166,9.4,200,3.8,58,-,-,yes,4.5999999999999996,99,5104,no,Hungarian,24,1,no,Yes,yes,Net Pincer,Wolt,499,1790,30,NA,NA,1.25,590,NA,2289
12a,Mr Simth's Pizza,Delivery,Klauzár tér 10,7,1072,Budapest,1.8 km,4.3,12,9,200,-,-,-,-,yes,3.6,31,526,no,Hungarian,19,0,no,Yes,yes,Net Pincer,Net Pincér,490,2100,32,NA,450,NA,NA,NA,2590
12b,Mr Simth's Pizza,Delivery,Klauzár tér 10,7,1072,Budapest,1.8 km,4.3,12,9,200,-,-,-,-,yes,3.6,31,526,no,Hungarian,19,0,no,Yes,yes,Wolt,Wolt,499,2100,32,NA,450,NA,NA,NA,2599
13a,Pasta Culture pizza & tésztabár,No Delivery,Október 6. utca 19,5,1051,Budapest,290 m,4.5,45,9.1999999999999993,200,4.4000000000000004,160,4,71,yes,5,28,2963,yes,Hungarian,26,0,no,Yes,yes,"NetPincér, Wolt",restaurant,0,1290,32,NA,NA,0.33,350,NA,1290
13b,Pasta Culture pizza & tésztabár,Delivery,Október 6. utca 19,5,1051,Budapest,290 m,4.5,45,9.1999999999999993,200,4.4000000000000004,160,4,71,yes,5,28,2963,yes,Hungarian,26,0,no,Yes,yes,"NetPincér, Wolt",Net Pincér,490,1290,32,NA,NA,0.33,350,NA,1780
14a,IL Pastaio Ristorante,No Delivery,Vörösmarty tér 2,5,1051,Budapest,550 m,5,1,9,200,4.2,583,4,571,yes,4.7,56,2110,yes,Hungarian,11,0,no,Yes,yes,"NetPincér, Wolt",restaurant,0,2590,32,NA,400,NA,NA,NA,2590
14b,IL Pastaio Ristorante,Delivery,Vörösmarty tér 2,5,1051,Budapest,550 m,5,1,9,200,4.2,583,4,571,yes,4.7,56,2110,yes,Hungarian,11,0,no,Yes,yes,"NetPincér, Wolt",Net Pincér,490,1555,32,NA,400,NA,NA,NA,2045
15a,Da Mario Budapest,No Delivery,Vécsey utca 3,5,1054,Budapest,600 m,-,-,9,50,4.5,1684,4.5,1746,yes,4.7,115,9552,yes,Hungarian,14,0,no,Yes,yes,"NetPincér, Wolt",restaurant,0,2400,32,NA,NA,0.33,350,NA,2400
15b,Da Mario Budapest,Delivery,Vécsey utca 3,5,1054,Budapest,600 m,-,-,9,50,4.5,1684,4.5,1746,yes,4.7,115,9552,yes,Hungarian,14,0,no,Yes,yes,"NetPincér, Wolt",Net Pincér,490,2400,32,NA,NA,0.33,350,NA,2890
15c,Da Mario Budapest,Delivery,Vécsey utca 3,5,1054,Budapest,600 m,-,-,9,50,4.5,1684,4.5,1746,yes,4.7,115,9552,yes,Hungarian,14,0,no,Yes,yes,"NetPincér, Wolt",Wolt,499,2400,32,NA,NA,0.33,350,NA,2899
16a,Pasta Finucci,No Delivery,Szentendrei út 4,3,1035,Budapest,6 km,4.75,381,9.1999999999999993,200,4.2,105,-,-,yes,4.8,49,1250,yes,Hungarian,32,0,no,Yes,yes,"Own, NetPincér, Wolt",restaurant,0,1590,32,NA,NA,1.25,570,NA,1590
16b,Pasta Finucci,Delivery,Szentendrei út 4,3,1035,Budapest,6 km,4.75,381,9.1999999999999993,200,4.2,105,-,-,yes,4.8,49,1250,yes,Hungarian,32,0,no,Yes,yes,"Own, NetPincér, Wolt",Wolt,1199,1590,32,NA,NA,1.25,570,NA,2789
17a,Pizza EATaliano - Buda,No Delivery,Batthyány tér 6,1,1011,Budapest,1.7 km,4.5,83,-,-,4,696,4,289,no,3,21,-,yes,Hungarian,29,21,yes,Yes,yes,Net Pincer,restaurant,0,2050,27,350,NA,NA,NA,NA,2050
17b,Pizza EATaliano - Buda,Delivery,Batthyány tér 6,1,1011,Budapest,1.7 km,4.5,83,-,-,4,696,4,289,no,3,21,-,yes,Hungarian,29,21,yes,Yes,yes,Net Pincer,Net Pincér,390,2050,27,350,NA,NA,NA,NA,2440
18,Klikk bistrobar,No Delivery,Király utca 13.,6,1068,Budapest,1 km,4.3,3,-,-,3.9,547,3,305,yes,4.2,105,8495,yes,Hungarian,18,0,no,Yes,yes,Net Pincer,restaurant,0,1390,32,360,NA,NA,NA,NA,1390
19a,Drum Cafe Lángos és Gulyás Bár,No Delivery,Dob utca 2.,7,1072,Budapest,1.1 km,4.5999999999999996,1000,9.1999999999999993,500,4.2,6397,4,2773,yes,4.4000000000000004,72,2474,yes,"Hungarian, English",6,0,no,yes,yes,"Net Pincer, Wolt",restaurant,0,1490,32,NA,350,NA,NA,NA,1490
19b,Drum Cafe Lángos és Gulyás Bár,Delivery,Dob utca 2.,7,1072,Budapest,1.1 km,4.5999999999999996,1000,9.1999999999999993,500,4.2,6397,4,2773,yes,4.4000000000000004,72,2474,yes,"Hungarian, English",6,0,no,yes,yes,"Net Pincer, Wolt",Wolt,499,1490,32,NA,350,NA,NA,NA,1989
20a,Élelem Étterem Budapest,No Delivery,Garibaldi utca 5,5,1054,Budapest,600 m,4.2,10,9,100,4.7,51,5,9,yes,4.5999999999999996,149,20096,no,Hungarian,8,0,no,Yes,yes,Net Pincer,restaurant,0,1790,32,NA,NA,NA,NA,NA,1790
20b,Élelem Étterem Budapest,Delivery,Garibaldi utca 5,5,1054,Budapest,600 m,4.2,10,9,100,4.7,51,5,9,yes,4.5999999999999996,149,20096,no,Hungarian,8,0,no,Yes,yes,Net Pincer,Wolt,499,2250,32,NA,NA,NA,NA,NA,2749
21a,Szelet! Pizzéria,No Delivery,Szent István krt. 12,13,1137,Budapest,1.4 km,4.7,184,9.1999999999999993,200,4.3,161,-,-,yes,4.3,7,3462,yes,Hungarian,30,0,no,Yes,yes,"Net Pincer, Wolt",restaurant,0,1490,32,NA,NA,1.25,490,NA,1490
21b,Szelet! Pizzéria,Delivery,Szent István krt. 12,13,1137,Budapest,1.4 km,4.7,184,9.1999999999999993,200,4.3,161,-,-,yes,4.3,7,3462,yes,Hungarian,30,0,no,Yes,yes,"Net Pincer, Wolt",Net Pincér,490,1490,32,NA,NA,1.25,490,NA,1980
21c,Szelet! Pizzéria,Delivery,Szent István krt. 12,13,1137,Budapest,1.4 km,4.7,184,9.1999999999999993,200,4.3,161,-,-,yes,4.3,7,3462,yes,Hungarian,30,0,no,Yes,yes,"Net Pincer, Wolt",Wolt,499,1490,32,NA,NA,1.25,490,NA,1989
22,Király Pizza Debrecen,No Delivery,Batthyány utca 4,-,4024,Debrecen,-,4.3,208,-,-,3.4,186,2.5,3,yes,-,-,557,yes,Hungarian,54,0,no,Yes,no,Net Pincer,restaurant,0,1420,30,NA,NA,NA,NA,NA,1420
23,Pizza Piccante,No Delivery,Csapó utca 95,-,4029,Debrecen,-,4.5,7,-,-,5,9,-,-,yes,5,21,1813,no,Hungarian,26,0,no,Yes,no,Net Pincer,restaurant,0,1390,32,350,NA,NA,NA,NA,1390
24,Casanova Pizza,No Delivery,Baross Gábor utca 27,-,4029,Debrecen,-,3.5,112,-,-,-,-,-,-,yes,1,6,107,no,Hungarian,53,0,no,Yes,no,Net Pincer,restaurant,0,1290,30,350,NA,NA,NA,NA,1290
25,Pizza Holiday Debrecen,No Delivery,Baross Gábor utca 31,-,4029,Debrecen,-,4.8,321,-,-,4.5,477,5,2,yes,-,-,11980,yes,Hungarian,25,0,no,Yes,no,Net Pincer,restaurant,0,1560,30,NA,NA,NA,NA,NA,1560
26,Donkey Pizza,No Delivery,Rákóczi út 50,-,7622,Pécs,-,4.7,480,-,-,4.0999999999999996,46,-,-,yes,4.2,26,1276,yes,Hungarian,31,0,no,Yes,no,Net Pincer,restaurant,0,1400,32,NA,NA,NA,NA,NA,1400
27,Új Duplapizza,No Delivery,Esztergár Lajos utca 10,-,7633,Pécs,-,4.7,215,9.1999999999999993,100,3.6,16,-,-,yes,-,-,1289,yes,Hungarian,38,0,no,Yes,no,Net Pincer,restaurant,0,1740,32,NA,NA,0.33,320,NA,1740
28,Pizza Love,No Delivery,József Attila sugárút 128,-,6723,Szeged,-,4.8,128,-,-,4.7,42,-,-,yes,4.8,32,8012,yes,Hungarian,50,0,no,Yes,no,Net Pincer,restaurant,0,1500,32,NA,NA,NA,NA,NA,1500
29,Rossita,No Delivery,Meggyesalja u. 18,-,3530,Miskolc,-,4.8,636,-,-,4.7,1251,4.5,134,yes,4.9000000000000004,40,7240,yes,Hungarian,37,8,yes,yes,no,Net Pincer,restaurant,0,1350,32,490,NA,NA,NA,NA,1350
30,Az Íz,No Delivery,Hunyadi János u. 56,-,3530,Miskolc,-,4.3,30,-,-,4.8,36,-,-,yes,4.9000000000000004,74,373,yes,Hungarian,30,0,no,yes,no,Net Pincer,restaurant,0,1450,32,350,NA,NA,NA,NA,1450
31,Slambuc,No Delivery,Szendrei János u. 2,-,3526,Miskolc,-,4.9000000000000004,924,-,-,4.0999999999999996,28,-,-,yes,4.7,35,1111,yes,Hungarian,40,0,no,yes,no,"Own, Net Pincér",restaurant,0,1790,32,350,NA,NA,NA,NA,1790
32,Arizona Club,No Delivery,Fehérvári út 80.,-,9028,Győr,-,4.7,306,-,-,4.4000000000000004,193,-,-,yes,4.9000000000000004,14,2826,yes,Hungarian,31,0,no,yes,no,"Own, Net Pincér",restaurant,0,1190,32,450,NA,NA,NA,NA,1190
33,Pizza Banditos,No Delivery,Béke u. 3,-,9025,Győr,-,4.0999999999999996,30,9.1999999999999993,10,5,1,4.5,28,yes,5,9,696,no,Hungarian,23,0,no,yes,no,"Net Pincér, Wolt",restaurant,0,1590,32,NA,340,NA,NA,NA,1590
34,Liget Pizzéria,No Delivery,Liget u. 2,-,9025,Győr,-,4.7,763,-,-,3.9,16,-,-,yes,4.5,12,777,no,Hungarian,14,0,no,yes,no,Net Pincér,restaurant,0,1670,32,NA,350,NA,NA,NA,1670
35,Doni Pizza Győr Plaza,No Delivery,Vasvári u. 1/a,-,9024,Győr,-,4.8,67,-,-,4.0999999999999996,17,-,-,yes,-,-,380,no,Hungarian,23,0,no,yes,no,Net Pincér,restaurant,0,1690,32,NA,470,NA,NA,NA,1690
36,La Pizza di Fetta Pizzaszelet Bár,No Delivery,Fő tér 24,-,9700,Szombathely,-,5,8,-,-,4.4000000000000004,106,-,-,yes,5,1,60,yes,Hungarian,36,0,no,yes,no,Net Pincér,restaurant,0,1190,32,440,NA,NA,NA,NA,1190
37,Magic Pizza,No Delivery,Körmöc u. 5,-,9700,Szombathely,-,4.5999999999999996,813,-,-,3.7,40,-,-,yes,4.5,62,6668,yes,Hungarian,36,0,no,Yes,no,Net Pincér,restaurant,0,1240,32,440,NA,NA,NA,NA,1240
38,Kedves Pizza,No Delivery,Nyár u. 10,-,4400,Nyíregyháza,-,4.9000000000000004,22,-,-,4.7,283,-,-,yes,5,3,1231,yes,Hungarian,19,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1460,32,420,NA,NA,NA,NA,1460
39,Pizza Maffia,No Delivery,Sóstói t 38.,-,4400,Nyíregyháza,-,4.5999999999999996,356,-,-,4.0999999999999996,575,4.5,4,yes,-,-,9548,yes,Hungarian,37,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1680,32,NA,390,NA,NA,NA,1680
40,Pizza Placc,No Delivery,Szabadság út 16,-,2100,Gödöllő,-,4.7,431,-,-,3.7,52,-,-,yes,3.6,25,1167,yes,Hungarian,37,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1360,32,NA,NA,0.33,NA,280,1640
41,BB Box Kitchen,No Delivery,Ady Endre sétány 1-3,-,2100,Gödöllő,-,4.7,47,-,-,-,-,-,-,yes,4,4,834,yes,Hungarian,33,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1350,32,NA,NA,0.33,NA,299,1649
